date	screen_name	text	fav	retweet	url	is_rt	followers_count	friends_count
Thu Oct 14 22:02:11 +0000 2021	HabibiLau	RT @todonoticias: 💬“EL CAPITALISMO PRODUJO ESTA CRISIS”: La palabra de Myriam Bregman del Frente de Izquierda en el bloque de “Política San…	0	35	https://twitter.com/HabibiLau/status/1448771138776023044	False	154	237
Thu Oct 14 22:01:59 +0000 2021	rpfdevoto	RT @DrCKambourian: En el #DebateCapital el candidato del FdT dijo que “a nadie le faltó una cama”. Lara murio en el piso, porque le faltó u…	0	2725	https://twitter.com/rpfdevoto/status/1448771090432475154	False	38	295
Thu Oct 14 22:01:55 +0000 2021	Florenc56647681	RT @Nikgaturro: Quién ganó el #DebateCapital ?	0	311	https://twitter.com/Florenc56647681/status/1448771074271887363	False	14	68
Thu Oct 14 22:01:52 +0000 2021	MMacrilevich	RT @JonyViale: María Eugenia Vidal destrozó a Leandro Santoro en el #debatecapital Si coincidís deja tu “Si” en un comentario y dale RT htt…	0	1794	https://twitter.com/MMacrilevich/status/1448771061001162755	False	3348	4059
Thu Oct 14 22:01:41 +0000 2021	FabianaRuffa	RT @mariuvidal: La peor improvisación fue que, después de que votaste el 12 de septiembre, se pasaron una semana discutiendo cargos de pode…	0	500	https://twitter.com/FabianaRuffa/status/1448771015358627861	False	158	78
Thu Oct 14 22:01:39 +0000 2021	denicolonico_	RT @JonyViale: María Eugenia Vidal destrozó a Leandro Santoro en el #debatecapital Si coincidís deja tu “Si” en un comentario y dale RT htt…	0	1794	https://twitter.com/denicolonico_/status/1448771005137113089	False	2328	5001
Thu Oct 14 22:01:36 +0000 2021	Spiderparadox1	"RT @Farodelibertad_: Este minuto es extraordinario.
#MileiContraTodos
#DebateCapital https://t.co/S4z3brl3Pf"	0	934	https://twitter.com/Spiderparadox1/status/1448770995355979776	False	1	6
Thu Oct 14 22:01:36 +0000 2021	LOUMICNA	"RT @tasnerviosho: Te envenenan, te enferman y te matan.
Todos trabajan para los mismos patrones #DebateCapital
@JuezLopezMDP @FLMIRONES @Dt…"	0	2	https://twitter.com/LOUMICNA/status/1448770993607041027	False	101	620
Thu Oct 14 22:01:33 +0000 2021	Wally47766814	RT @Chequeado: [NUEVO] Santoro, sobre el presupuesto educativo en la Ciudad: “Hace 10 años el presupuesto cae un punto por año”. Es #VERDAD…	0	417	https://twitter.com/Wally47766814/status/1448770980634050563	False	42	140
Thu Oct 14 22:01:28 +0000 2021	aliciaazucena64	RT @JonyViale: María Eugenia Vidal destrozó a Leandro Santoro en el #debatecapital Si coincidís deja tu “Si” en un comentario y dale RT htt…	0	1794	https://twitter.com/aliciaazucena64/status/1448770959666659346	False	103	263
Thu Oct 14 22:01:17 +0000 2021	xcaret00	RT @DrCKambourian: En el #DebateCapital el candidato del FdT dijo que “a nadie le faltó una cama”. Lara murio en el piso, porque le faltó u…	0	2725	https://twitter.com/xcaret00/status/1448770913323786242	False	49	71
Thu Oct 14 22:01:16 +0000 2021	ComoMeDoy	RT @SantoroLeandro: Se fugaron un FMI. #DebateCapital https://t.co/p3TmQmwGc3	0	1793	https://twitter.com/ComoMeDoy/status/1448770908928286731	False	42	124
Thu Oct 14 22:00:49 +0000 2021	rpfdevoto	RT @atlanticsurff: Mi ciela Myriam Bregman dice en el #DebateCapital que siempre está al lado de la víctimas, la misma Myriam Bregman que v…	0	3064	https://twitter.com/rpfdevoto/status/1448770797309358080	False	38	295
Thu Oct 14 22:00:45 +0000 2021	fppdaa	"RT @marioraulnegri: Blanco sobre negro para los que todavía se hacen los distraídos:

Quirós o Ginés. Escuelas abiertas o cerradas. Turnos…"	0	887	https://twitter.com/fppdaa/status/1448770779026448392	False	10	42
Thu Oct 14 22:00:44 +0000 2021	PBorthelle	"RT @SergioChouza: jajajaja pero si Larreta acaba de poner DOS impuestos nuevos hace literalmente DIEZ meses, qué decís 🤌

#DebateCapital ht…"	0	683	https://twitter.com/PBorthelle/status/1448770774085537798	False	105	203
Thu Oct 14 22:00:36 +0000 2021	0KELO	RT @martintetaz: Esta es mi tapa preferida de @mariuvidal a @SantoroLeandro en el #DebateCapital https://t.co/z0Rt522qfi	0	1183	https://twitter.com/0KELO/status/1448770742259171335	False	174	830
Thu Oct 14 22:00:35 +0000 2021	SagardoyAndrea	RT @alefinocchiaro: Como dijo @mariuvidal: “Este #14N vas a tener que elegir entre un país que libera presos y arma una justicia paralela o…	0	396	https://twitter.com/SagardoyAndrea/status/1448770739021168643	False	3734	4595
Thu Oct 14 22:00:33 +0000 2021	AcaNoEsOk	RT @DrCKambourian: En el #DebateCapital el candidato del FdT dijo que “a nadie le faltó una cama”. Lara murio en el piso, porque le faltó u…	0	2725	https://twitter.com/AcaNoEsOk/status/1448770729504301062	False	310	629
Thu Oct 14 22:00:33 +0000 2021	agradecermaria	RT @atlanticsurff: Mi ciela Myriam Bregman dice en el #DebateCapital que siempre está al lado de la víctimas, la misma Myriam Bregman que v…	0	3064	https://twitter.com/agradecermaria/status/1448770727721701381	False	1052	1248
Thu Oct 14 22:00:22 +0000 2021	cristinacejas_	RT @SantoroLeandro: Arshak es un agente de la Policía de la Ciudad que está desaparecido hace 30 meses. ¿Les parece algo normal? ¿Alguna ve…	0	1821	https://twitter.com/cristinacejas_/status/1448770681970180113	False	998	1178
Thu Oct 14 22:00:18 +0000 2021	nunKamenos	RT @Chequeado: [NUEVO] Santoro, sobre el presupuesto educativo en la Ciudad: “Hace 10 años el presupuesto cae un punto por año”. Es #VERDAD…	0	417	https://twitter.com/nunKamenos/status/1448770667780870144	False	56	126
Thu Oct 14 22:00:16 +0000 2021	izquierdadiario	#DebateCapital: en el tema del aborto Milei volvió a mostrar su ignorancia https://t.co/W34fHgSi0g	16	5	https://twitter.com/izquierdadiario/status/1448770659572649984	False	83659	840
Thu Oct 14 22:00:06 +0000 2021	Deb_Excelsior73	"RT @Lautarongo_: #DebateCapital
Myriam Bregman: Javier Milei nos dice zurdos de mierda
Milei: Es lo que son https://t.co/TaERbRJe8l"	0	183	https://twitter.com/Deb_Excelsior73/status/1448770614655795292	False	209	734
Thu Oct 14 22:00:05 +0000 2021	MSantilo	RT @JonyViale: María Eugenia Vidal destrozó a Leandro Santoro en el #debatecapital Si coincidís deja tu “Si” en un comentario y dale RT htt…	0	1794	https://twitter.com/MSantilo/status/1448770611572981774	False	440	673
Thu Oct 14 21:59:57 +0000 2021	Luciern68876809	RT @alefinocchiaro: Como dijo @mariuvidal: “Este #14N vas a tener que elegir entre un país que libera presos y arma una justicia paralela o…	0	396	https://twitter.com/Luciern68876809/status/1448770580870750216	False	1565	1740
Thu Oct 14 21:59:55 +0000 2021	mariavi49447910	"RT @WolffWaldo: Muy bien @mariuvidal en el #DebateCapital 
Felicitaciones a todo el equipo"	0	384	https://twitter.com/mariavi49447910/status/1448770572142403590	False	3413	4982
Thu Oct 14 21:59:52 +0000 2021	DechiaraSilvia1	RT @martintetaz: Esta es mi tapa preferida de @mariuvidal a @SantoroLeandro en el #DebateCapital https://t.co/z0Rt522qfi	0	1183	https://twitter.com/DechiaraSilvia1/status/1448770555792932873	False	7	55
Thu Oct 14 21:59:51 +0000 2021	reallyhellyes	RT @martintetaz: Esta es mi tapa preferida de @mariuvidal a @SantoroLeandro en el #DebateCapital https://t.co/z0Rt522qfi	0	1183	https://twitter.com/reallyhellyes/status/1448770554131988506	False	54	585
Thu Oct 14 21:59:46 +0000 2021	silviadacal58	RT @JonyViale: María Eugenia Vidal destrozó a Leandro Santoro en el #debatecapital Si coincidís deja tu “Si” en un comentario y dale RT htt…	0	1794	https://twitter.com/silviadacal58/status/1448770532208361477	False	59	147
Thu Oct 14 21:59:34 +0000 2021	DLsaynomore	RT @tavitoa87: Resumen del #DebateCapital https://t.co/jyk49Gbz0Y	0	158	https://twitter.com/DLsaynomore/status/1448770480991834114	False	232	247
