screen_name	date	fav	retweet	text	url	hashtags
SantiOlsze	Mon Mar 15 00:30:23 +0000 2021	215	15	La UBA cumple 200 años, mi título cumple 100 días sin avanzar del primer casillero. https://t.co/ObGaL9VTZE	https://twitter.com/SantiOlsze/status/1371257433126019079	[]
SantiOlsze	Fri Mar 12 22:50:02 +0000 2021	1008	248	Toma ritmo la campaña de vacunación en Argentina. El primer 1% de la población vacunado tardó 56 días en alcanzarse. 11 días después era el 2%. 6 días después alcanzamos el 3%. Mañana, 3 días después, alcanzaremos el 4% de la población vacunada. https://t.co/Iq3qt66Uil	https://twitter.com/SantiOlsze/status/1370507403133865994	[]
SantiOlsze	Fri Mar 12 22:02:22 +0000 2021	55	30	"Actualizo con los nuevos casos reportados: 

- Aumentaron  116% en Paraguay
- Aumentaron  94% en Uruguay
- Aumentaron un 53% en Brasil
- Aumentaron un 38% en Chile

- Se redujeron un 12% en Argentina
- Se redujeron un 53% en Bolivia"	https://twitter.com/SantiOlsze/status/1370495406661115904	[]
SantiOlsze	Fri Mar 12 00:07:47 +0000 2021	73	16	"Fe de erratas: 
- 110%, no más de 110% en Paraguay. 
- 50%, no 45% en Bolivia."	https://twitter.com/SantiOlsze/status/1370164582094884864	[]
SantiOlsze	Thu Mar 11 23:52:37 +0000 2021	1222	470	"En el último mes, los nuevos casos diarios:

- Aumentaron más de un 110% en Paraguay
- Aumentaron un 80% en Uruguay
- Aumentaron un 50% en Brasil
- Aumentaron un 35% en Chile

- Se redujeron un 15% en Argentina
- Se redujeron un 45% en Bolivia

¿Momento de cuidar las fronteras? https://t.co/wixxYa2Q8X"	https://twitter.com/SantiOlsze/status/1370160765878075393	[]
SantiOlsze	Thu Mar 11 15:21:24 +0000 2021	15	1	@EloinFirenze https://t.co/QScqryTBrs	https://twitter.com/SantiOlsze/status/1370032115451052045	[]
SantiOlsze	Wed Mar 10 21:57:10 +0000 2021	407	32	¿Sarlo pidió perdón y Quirós se autocrítica fuertemente o al revés? Ya me mezclé.	https://twitter.com/SantiOlsze/status/1369769323296854026	[]
SantiOlsze	Wed Mar 10 19:57:15 +0000 2021	81	2	Yo cada vez que llega un lote de Sputnik a otro país me pongo celoso. https://t.co/nfPbZbCBIA	https://twitter.com/SantiOlsze/status/1369739145871032322	[]
SantiOlsze	Tue Mar 09 23:29:19 +0000 2021	204	81	"124 países comenzaron la vacunación🌎.

- 9 países concentran el 75% de las dosis aplicadas. 
- 10 países concentran el siguiente 15%. 
- 10 países concentran el 5% que le sigue (🇦🇷).

Los 95 países restantes (no mostrados) aplicaron, entre todos, el 5% de las vacunas. https://t.co/8f581JfOQL"	https://twitter.com/SantiOlsze/status/1369430128128892935	[]
SantiOlsze	Tue Mar 09 23:08:55 +0000 2021	27	11	En Italia se observa en los últimos 15 días un aumento de los pacientes internados en terapia intensiva por coronavirus. Es probable que en los próximos días aumenten los fallecidos reportados allí. https://t.co/KqQjGXOh7Y	https://twitter.com/SantiOlsze/status/1369424993793306628	[]
SantiOlsze	Tue Mar 09 14:20:29 +0000 2021	262	53	Más del 3% de la población argentina ya está vacunada contra el coronavirus con al menos una dosis. En CABA y La Pampa el porcentaje de población vacunada supera el 4%. En total se llevan aplicadas 1.745.122 dosis, de las cuales 726.665 corresponden a PBA. https://t.co/klf84TAp8w	https://twitter.com/SantiOlsze/status/1369292007894626305	[]
SantiOlsze	Mon Mar 08 19:37:35 +0000 2021	3300	893	Si no se enteran de que chocó el Ministro de Salud de Corrientes con vacunas Sputnik V en su auto es porque en Corrientes gobierna la UCR. República y coso.	https://twitter.com/SantiOlsze/status/1369009422081593354	[]
SantiOlsze	Mon Mar 08 13:39:53 +0000 2021	62	15	"Según los datos del Ministerio de Salud de la Nación, se aplicaron al momento 1.546.699 dosis. Son:

- 1.032.199 Sputnik V (67%)
- 375.945 Covishield (24%)
- 138.555 Sinopharm (9%)

La PBA tiene unas 100.000 dosis aplicadas todavía no cargadas al sistema nacional."	https://twitter.com/SantiOlsze/status/1368919401848856585	[]
SantiOlsze	Mon Mar 08 12:53:00 +0000 2021	97	22	Argentina, por supuesto, está en el ranking de vacunas aplicadas como todo país que comenzó la vacunación. Está tercero en la región después de Chile, de impresionante campaña, y Brasil. https://t.co/75A832RFxY	https://twitter.com/SantiOlsze/status/1368907602793529345	[]
SantiOlsze	Sun Mar 07 16:37:57 +0000 2021	305	85	Muchas fotos en redes sociales de juntadas adentro sin ventilación este fin de semana. La mampara de este dibujo de @numeroteca es análoga a sentarse a dos metros. Sin ventilación, el coronavirus está en todos lados. https://t.co/cKZAkhIQ2V	https://twitter.com/SantiOlsze/status/1368601828510797824	[]
