Posición	Jugador	Club	Puntos	Categoria
229	Herrera, Juan Ignacio              	TMR                           	782	5
230	Monali, Sofia                      	Fenix                         	782	5
231	Dunayevich, Santiago               	Fenix                         	779	5
232	Giacobbe, Jeremias                 	Club La Quinta                	777	5
233	Fior, Santiago Danilo              	TMR                           	776	5
234	Kramarovsky, Iván                  	Instituto Cia. Maria          	769	5
235	Fontana, Nicolas Damian            	Tigre TDM                     	769	5
236	Fantozzi, Alejandro                	Top Minc                      	769	5
237	Balcaza, Néstor                    	Spin TDM                      	766	5
238	Lin, Pablo                         	Social Club TDM               	766	5
239	Thisted, Marcos                    	La Legión TDM                 	765	5
240	Serra Schoppe, Ariel I.            	Instituto Cia. Maria          	764	5
241	Rozehnal, Ignacio                  	Top Minc                      	764	5
242	Sagastume Kohn, Ariel              	River Plate                   	756	5
243	Puk Vidal, Santiago                	Peretz                        	756	5
244	Simon Hurtado, Carlos              	Alvear Club                   	756	5
245	Miyashiro, Bautista                	Instituto Cia. Maria          	752	5
246	Iwasa, Pilar                       	River Plate                   	750	5
247	Puk Vidal, Sebastian               	Peretz                        	749	5
248	Sposato, Valentino                 	CTDM Pato Nizetich            	749	5
249	Casela, Agustin                    	Lourdes                       	749	5
250	Santostefano, Marcelo              	Tigre TDM                     	743	5
251	Mora Carreño, Helysaul             	La Legión TDM                 	743	5
252	Chillemi, Germán                   	Top Minc                      	735	5
253	Espinosa, Juan Ignacio             	La Legión TDM                 	734	5
254	Miura Murayama, Noriko             	Tigre TDM                     	730	5
255	Morales Centurion, Ma. Ayelen      	River Plate                   	729	5
256	Akizawa, Clelia F                  	AsociacionYabrudense          	725	5
257	Cortes, Juan Cruz                  	Libertad                      	720	5
258	Ramos, Nicolas J.                  	Ateneo de Versailles          	718	5
259	Aguilar Ikeda, Justina Mayumi      	Fenix                         	712	5
260	Castagnola, Cristian A.            	Club La Quinta                	710	5
261	Trillini, Juan                     	Atlanta                       	710	6
262	Arias, Joaquin                     	Alvear Club                   	702	6
263	Gil Baez, Rodrigo                  	Fenix                         	698	6
264	Borgstrand, Ivo                    	La Legión TDM                 	697	6
265	Czarny, Lucas                      	Atlanta                       	694	6
266	Heredia, Edgardo                   	GTM                           	694	6
267	Devesa, Gabriel F.                 	Atlanta                       	692	6
268	Nicolini, Matias R.                	Ateneo de Versailles          	685	6
269	Martinez, Guillermo                	Fenix                         	677	6
270	Condori, Lucas Ivan                	Nichia Gakuin                 	677	6
271	Soto, Gerardo                      	San Lorenzo                   	674	6
272	Piuma, Vanesa C.                   	Nichia Gakuin                 	672	6
273	Hurevich, Mariano                  	River Plate                   	668	6
274	Larraura, Facundo                  	San Lorenzo                   	667	6
275	Aguilar Solis, Francisco           	Atlanta                       	666	6
276	Conci, Rodolfo H                   	Instituto Cia. Maria          	665	6
277	Lima, Martin                       	Zenit                         	664	6
278	Moavro, Fernando E.                	Club Italiano JCPaz           	662	6
279	Marcovich, Andrés                  	Fenix                         	661	6
280	Kerber, Ezequiel                   	Atlanta                       	661	6
281	Vega, Nicolás                      	Alvear Club                   	658	6
282	Lacuadra, Sebastian H.             	Club Italiano JCPaz           	654	6
283	Pimienta, Raul E.                  	Atlanta                       	653	6
284	Soto, Aldo H.                      	Gimnasty                      	653	6
285	Espinosa  Dotta, Julian            	Instituto Cia. Maria          	646	6
286	Romano, Maria Rosario              	Tigre TDM                     	644	6
287	Condori,Olegario                   	Nichia Gakuin                 	643	6
288	Lacuadra, Mathias                  	Club Italiano JCPaz           	643	6
289	Fiorda, Jonathan                   	La Legión TDM                 	642	6
290	Aguirre, Julio Ricardo             	GTM                           	642	6
291	Macas Macias, Ariel                	Atlanta                       	640	6
292	Nizetich Tripodi, Lautaro          	CTDM Pato Nizetich            	635	6
293	Chapuis, Maria Jacqueline          	TMR                           	634	6
294	Sosa, Ivan Marcelo                 	Tigre TDM                     	625	6
295	Villoldo, Claudio                  	Tigre TDM                     	620	6
296	Nakankare, Agustina                	Nichia Gakuin                 	620	6
297	Coelho Costa, Lucas D.             	Club La Quinta                	620	6
298	Bocca Di Fuocco, Gabriel           	Intendente Agüero             	615	6
299	Garrido, Ernesto                   	Rioja                         	612	6
300	Frol, Esteban                      	TMR                           	605	6
301	Quiceno, Guillermo                 	Estacion Ping Pong            	597	6
302	Maldonado, Francisco M.            	La Legión TDM                 	597	6
303	Carrillo, Hernan H.                	Adrogue Sith Spin             	597	6
304	Gonzalez, Gustavo Martin           	San Lorenzo                   	595	6
305	Keizman, Graciela Rut              	Alvear Club                   	592	6
306	Paz, Luciano                       	La Legión TDM                 	583	6
307	Guarino Muñoz, Alejo E.            	CEDIMA                        	578	6
308	Lopez, Rodrigo                     	La Legión TDM                 	578	6
309	Blejman, Mariano                   	Fenix                         	577	6
310	Soria, Alejandro                   	Libre                         	576	6
311	Rodriguez Salem, Lucia             	Gimnasty                      	575	7
312	Monteforte, Nicolas A.             	Lourdes                       	571	7
313	Rossi Vera, Santino                	Peretz                        	561	7
314	Cobanera, Franco                   	Intendente Agüero             	559	7
315	Juri, Leandro                      	Fenix                         	559	7
316	Garnis, Maria Lara                 	Libertad                      	555	7
317	Molina, Tomas                      	Fenix                         	555	7
