date	screen_name	text	fav	retweet	url	is_rt	followers_count	friends_count
Thu Oct 21 15:37:37 +0000 2021	kuro_no_law	RT @todonoticias: El #DebateBuenosAires, según Espert ⬇️ https://t.co/etZPp1QGXF	0	280	https://twitter.com/kuro_no_law/status/1451211077069459458	False	120	559
Thu Oct 21 15:37:37 +0000 2021	JotitaJota1	RT @vtolosapaz: ¿Ustedes saben que Larreta y Santilli se presentaron ante la justicia para impedir la llegada de fondos para la seguridad d…	0	883	https://twitter.com/JotitaJota1/status/1451211075689623558	False	3184	3345
Thu Oct 21 15:37:37 +0000 2021	ElQuemeroDeOnce	RT @Nikgaturro: #DebateBuenosAires Tolosa Paz y el discurso pseudo peronista atrasa unos 70 años. Por suerte lo tiene a Del Caño que con la…	0	2108	https://twitter.com/ElQuemeroDeOnce/status/1451211075244888075	False	989	2297
Thu Oct 21 15:37:33 +0000 2021	PiscianaIntensa	"RT @telenoche: EL #DEBATEBUENOSAIRES Y SUS MEMES 📲

👉 Las mejores perlitas que dejó el encuentro entre candidatos se trasladó a Twitter, do…"	0	3	https://twitter.com/PiscianaIntensa/status/1451211060594155526	False	2470	2942
Thu Oct 21 15:37:31 +0000 2021	ElDanteluna	"RT @vtolosapaz: Ya estamos en @todonoticias esperando el comienzo del debate de candidatos y candidatas.
#DebateBuenosAires https://t.co/59…"	0	151	https://twitter.com/ElDanteluna/status/1451211051232493571	False	184	977
Thu Oct 21 15:37:23 +0000 2021	Laurita8a1	RT @diegosantilli: Mientras el Gobierno nacional y provincial improvisaba, nosotros gestionamos la pandemia con planificación, datos y evid…	0	169	https://twitter.com/Laurita8a1/status/1451211019712442369	False	102	112
Thu Oct 21 15:37:21 +0000 2021	galgo25582	RT @atlanticsurff: Mi ciela Tolosa Paz, pide justicia y basta de impunidad en el #DebateBuenosAires , la misma Tolosa Paz que tiene 15 off…	0	1973	https://twitter.com/galgo25582/status/1451211007435497476	False	1040	280
Thu Oct 21 15:37:20 +0000 2021	nahuabrile	"RT @todonoticias: 💬 ""MATAR TIENE QUE DEJAR DE SER GRATIS"" | El minuto de José Luis Espert (Avanza Libertad) en el bloque de ""Calidad Instit…"	0	454	https://twitter.com/nahuabrile/status/1451211005254533120	False	14	62
Thu Oct 21 15:37:19 +0000 2021	SoyRobotico	"RT @BonelliOK: 💣 ESPERT PROPUSO ""EMPODERAR"" A LA POLICÍA
El candidato de Avanza Libertad habló sobre Calidad Institucional, Seguridad y Jus…"	0	242	https://twitter.com/SoyRobotico/status/1451211002629038082	False	4334	4967
Thu Oct 21 15:37:08 +0000 2021	anagasss1	RT @MargaWirkierman: Se le pasó por alto a @vtolosapaz que ellos hablan del vacunatorio VIP pero no mencionan que le vendieron las primeras…	0	113	https://twitter.com/anagasss1/status/1451210954906034181	False	644	1045
Thu Oct 21 15:37:08 +0000 2021	Eleazar02939823	RT @ContadorMacri: La candidata del frente de todos para Diputada Nacional por la Provincia de Buenos Aires, Victoria Tolosa Paz @vtolosapa…	0	639	https://twitter.com/Eleazar02939823/status/1451210953916395522	False	9	125
Thu Oct 21 15:37:07 +0000 2021	TimetoDonuts	"RT @HeroLibertarian: Y asi fue... Espert arraso con todo! 

#EsConEspert
#DebateBuenosAires 
#AvanzaLibertad https://t.co/RIluGK95HG"	0	6	https://twitter.com/TimetoDonuts/status/1451210949659070468	False	444	701
Thu Oct 21 15:37:04 +0000 2021	Ariel67862723	RT @Alecbascbas: Si Derrota Paz no habla de Macri, tiene que explicar que se robaron las vacunas, boicotearon la Pfizer, los 116000 muertos…	0	266	https://twitter.com/Ariel67862723/status/1451210938992971783	False	1131	1315
Thu Oct 21 15:37:04 +0000 2021	freeconomicsg	RT @todonoticias: El #DebateBuenosAires, según Espert ⬇️ https://t.co/etZPp1QGXF	0	280	https://twitter.com/freeconomicsg/status/1451210937898315777	False	1060	1303
Thu Oct 21 15:37:01 +0000 2021	hernanlgd	RT @cristianritondo: Felicitaciones Colo @diegosantilli !. En el #DebateBuenosAires demostraste que tenés las mejores propuestas y la exper…	0	85	https://twitter.com/hernanlgd/status/1451210926670028806	False	731	923
Thu Oct 21 15:36:56 +0000 2021	GorilaNunca	RT @AgenciaElVigia: #DebateBuenosAires: @vtolosapaz denunció que el vicejefe de gobierno porteño, @diegosantilli, firmó una demanda que le…	0	98	https://twitter.com/GorilaNunca/status/1451210904419274755	False	129	773
Thu Oct 21 15:36:56 +0000 2021	TimetoDonuts	"RT @TENDENCIASok: A QUIEN BANCAS?

JOSE LUIS ESPERT 👉 RT

VICTORIA TOLOSA PAZ 👉FAV 

#esconespert
#DebateBuenosAires https://t.co/2ktooEUm47"	0	267	https://twitter.com/TimetoDonuts/status/1451210904369078273	False	444	701
Thu Oct 21 15:36:53 +0000 2021	JorgeArellano59	RT @vtolosapaz: ¿Ustedes saben que Larreta y Santilli se presentaron ante la justicia para impedir la llegada de fondos para la seguridad d…	0	883	https://twitter.com/JorgeArellano59/status/1451210890842304521	False	1020	1286
Thu Oct 21 15:36:51 +0000 2021	maraaguer0	RT @ContadorMacri: La candidata del frente de todos para Diputada Nacional por la Provincia de Buenos Aires, Victoria Tolosa Paz @vtolosapa…	0	639	https://twitter.com/maraaguer0/status/1451210885339369474	False	70	392
Thu Oct 21 15:36:50 +0000 2021	JesusEs66408808	RT @DanteForesi: Sé que las limitaciones de Santilli hacen que te de pena y ternura. Parece un nene rindiendo examen. Pero ojo que es pelig…	0	308	https://twitter.com/JesusEs66408808/status/1451210880679546882	False	682	225
