date	screen_name	text	fav	retweet	url
Thu Oct 14 05:06:32 +0000 2021	fran_mirian	RT @SantoroLeandro: Tengan la absoluta seguridad que desde el primer día en el Parlamento, vamos a trabajar para que la Argentina vuelva a…	0	177	https://twitter.com/fran_mirian/status/1448515544882237442
Thu Oct 14 05:06:32 +0000 2021	mariaevabazan	RT @martintetaz: Muy bien @mariuvidal ganando el #DebateCapital por goleada https://t.co/Re5j1mRvYG	0	539	https://twitter.com/mariaevabazan/status/1448515544290938880
Thu Oct 14 05:06:31 +0000 2021	Chequeado	"[NUEVO] Milei: ""La Argentina produce alimentos para 400 millones de seres humanos"". Es #INSOSTENIBLE.

📍 Lee los detalles en: https://t.co/6nThwiNoQx

🖋️Por @Jose__Gimenez. 
#DebateChequeado #DebateCapital https://t.co/9S6r7P5bMh"	54	14	https://twitter.com/Chequeado/status/1448515540977397761
Thu Oct 14 05:06:31 +0000 2021	gusggarin	"RT @marioraulnegri: Blanco sobre negro para los que todavía se hacen los distraídos:

Quirós o Ginés. Escuelas abiertas o cerradas. Turnos…"	0	722	https://twitter.com/gusggarin/status/1448515538372608004
Thu Oct 14 05:06:29 +0000 2021	Ali67127629	RT @laventanadjulia: #DebateCapital en A DOS VOCES: Milei, Bregman, Santoro y Vidal cara a cara (VIDEO COMPLETO 13/10/2021) https://t.co/gN…	0	4	https://twitter.com/Ali67127629/status/1448515531670233089
Thu Oct 14 05:06:29 +0000 2021	andreadatri	RT @nestorpitrola: En el #DebateCapital el Frente de Izquierda a través de @myriambregman está fijando una posición desde el campo de los t…	0	11	https://twitter.com/andreadatri/status/1448515531137552388
Thu Oct 14 05:06:29 +0000 2021	Edith65151092	RT @ELCARA333_: Santoro perdió con Vidal , pero le ganó a Milei . No sabe más q hablar de economía y de memoria . Le sacas el libreto y fue…	0	31	https://twitter.com/Edith65151092/status/1448515530789306369
Thu Oct 14 05:06:27 +0000 2021	fersua1389	"RT @laderechadiario: 🇦🇷 | Javier Milei en #DebateCapital: ""Si, grito mucho. Pero porque estoy cansado de la casta política. Si, soy peligro…"	0	574	https://twitter.com/fersua1389/status/1448515521935142912
Thu Oct 14 05:06:24 +0000 2021	julyrmstrng	"RT @SergioChouza: jajajaja pero si Larreta acaba de poner DOS impuestos nuevos hace literalmente DIEZ meses, qué decís 🤌

#DebateCapital ht…"	0	562	https://twitter.com/julyrmstrng/status/1448515510203609088
Thu Oct 14 05:06:24 +0000 2021	fran_mirian	RT @SantoroLeandro: Yo sé que este año y medio fueron tiempos muy duros. Todos lo tenemos claro. Pero también sé que estamos empezando a sa…	0	444	https://twitter.com/fran_mirian/status/1448515509964656646
Thu Oct 14 05:06:23 +0000 2021	KarinaConK20	RT @SantoroLeandro: ¿Alguno recuerda alguna política pública durante la pandemia del jefe de gobierno? La respuesta es no. Mientras el gobi…	0	670	https://twitter.com/KarinaConK20/status/1448515507120848896
Thu Oct 14 05:06:23 +0000 2021	silvinabs22	RT @DrCKambourian: En el #DebateCapital el candidato del FdT dijo que “a nadie le faltó una cama”. Lara murio en el piso, porque le faltó u…	0	1933	https://twitter.com/silvinabs22/status/1448515506923716613
Thu Oct 14 05:06:18 +0000 2021	ISVLopez	RT @MechiDemen: El peronismo y el macrismo ya gobernaron para los  empresarios e hicieron crecer la pobreza, Milei sólo busca distraer para…	0	10	https://twitter.com/ISVLopez/status/1448515484945563653
Thu Oct 14 05:06:17 +0000 2021	SallGudman	"Qué embole debe ser Vidal cogiendo.

#DebateCapital #milei #vidal. #DebateTN"	0	0	https://twitter.com/SallGudman/status/1448515479971237891
Thu Oct 14 05:06:16 +0000 2021	PodestaSergio	RT @LucasDeJesusOk: Patinó Milei. No supo, siquiera, apegarse a reglas que pactaron entre los candidatos. Bregman, al igual que su carrera…	0	265	https://twitter.com/PodestaSergio/status/1448515478427688968
Thu Oct 14 05:06:14 +0000 2021	OtroPibeK	RT @SantoroLeandro: Yo sé que este año y medio fueron tiempos muy duros. Todos lo tenemos claro. Pero también sé que estamos empezando a sa…	0	444	https://twitter.com/OtroPibeK/status/1448515467472105479
Thu Oct 14 05:06:12 +0000 2021	conejopink02	RT @DrCKambourian: En el #DebateCapital el candidato del FdT dijo que “a nadie le faltó una cama”. Lara murio en el piso, porque le faltó u…	0	1933	https://twitter.com/conejopink02/status/1448515461725835266
Thu Oct 14 05:06:12 +0000 2021	alexandrato2016	"RT @laderechadiario: 🇦🇷 | Milei cerró el #DebateCapital: ""Quiero dejarles un mensaje de esperanza, existe un mundo mejor, pero solamente si…"	0	950	https://twitter.com/alexandrato2016/status/1448515458471186432
Thu Oct 14 05:06:10 +0000 2021	gracybellu	RT @DuarteMati: A Myriam Bregman la asusta una taser, pero celebraba que con esto se le tirara a la cabeza a la Policía. #DebateCapital htt…	0	308	https://twitter.com/gracybellu/status/1448515450871156739
Thu Oct 14 05:06:08 +0000 2021	ISVLopez	RT @MechiDemen: Como dijo @myriambregman la izquierda que se unió salió tercera fuerza nacional, lo que esta en juego en esta crisis que at…	0	9	https://twitter.com/ISVLopez/status/1448515445523304456
Thu Oct 14 05:06:08 +0000 2021	OtroPibeK	RT @SantoroLeandro: Gracias a todos y todas por seguir el debate. Digámosle sí al trabajo, sí a la educación, sí a la producción, sí a la s…	0	819	https://twitter.com/OtroPibeK/status/1448515443640057857
Thu Oct 14 05:06:08 +0000 2021	Cristina112366	RT @alefinocchiaro: Como dijo @mariuvidal: “Este #14N vas a tener que elegir entre un país que libera presos y arma una justicia paralela o…	0	312	https://twitter.com/Cristina112366/status/1448515442071441412
Thu Oct 14 05:06:06 +0000 2021	hector_zenko	"RT @Sebapintor_: Resumen del debate:
Santoro: AH PERO MACRI
Vidal: AH PERO EL KIRCHNERISMO
Bregman: AH PERO MILEI
Milei: *Tira datos*
Moder…"	0	431	https://twitter.com/hector_zenko/status/1448515435721224197
Thu Oct 14 05:06:04 +0000 2021	Ali67127629	RT @martintetaz: Esta es mi tapa preferida de @mariuvidal a @SantoroLeandro en el #DebateCapital https://t.co/z0Rt522qfi	0	989	https://twitter.com/Ali67127629/status/1448515426187624451
Thu Oct 14 05:06:01 +0000 2021	vulgarcite	RT @PlagaPosadas: Como empezó / Cómo terminó #DebateCapital https://t.co/IZURJIyIj9	0	13	https://twitter.com/vulgarcite/status/1448515413768278018
Thu Oct 14 05:06:00 +0000 2021	Ali67127629	"RT @marioraulnegri: Blanco sobre negro para los que todavía se hacen los distraídos:

Quirós o Ginés. Escuelas abiertas o cerradas. Turnos…"	0	722	https://twitter.com/Ali67127629/status/1448515408760295426
Thu Oct 14 05:05:59 +0000 2021	ISVLopez	RT @MechiDemen: Los únicos diputades que van a rechazar la reforma laboral, la megaminería y el saqueo de los recursos, el pago de la deuda…	0	12	https://twitter.com/ISVLopez/status/1448515407732641792
Thu Oct 14 05:05:59 +0000 2021	adriancaneto	RT @SantoroLeandro: ¿Dónde está Arshak? #DebateCapital https://t.co/2u4mQ5SEqB	0	438	https://twitter.com/adriancaneto/status/1448515405073559553
Thu Oct 14 05:05:58 +0000 2021	fran_mirian	"RT @SergioChouza: jajajaja pero si Larreta acaba de poner DOS impuestos nuevos hace literalmente DIEZ meses, qué decís 🤌

#DebateCapital ht…"	0	562	https://twitter.com/fran_mirian/status/1448515401957117956
Thu Oct 14 05:05:57 +0000 2021	_32un0	"RT @emergentemedio: La Rusa vs el amigo de Bolsonaro. 

Al fascismo no se lo discute. Se lo destruye. 
@myriambregman en el #DebateCapital…"	0	124	https://twitter.com/_32un0/status/1448515398694014977
Thu Oct 14 05:05:56 +0000 2021	OtroPibeK	RT @SantoroLeandro: Desde que el macrismo gobierna la Ciudad, todos los años faltan 20 mil vacantes. Y aunque parezca increíble, su insensi…	0	984	https://twitter.com/OtroPibeK/status/1448515393564250116
Thu Oct 14 05:05:53 +0000 2021	carlosm40386843	"RT @luisbremer: ""Cuantas escuelas construirse vos en tu gestión en la provincia de Buenos Aires?"" @SantoroLeandro a @mariuvidal y ella resp…"	0	59	https://twitter.com/carlosm40386843/status/1448515380973035523
Thu Oct 14 05:05:52 +0000 2021	PadrePsicologo	RT @DrCKambourian: En el #DebateCapital el candidato del FdT dijo que “a nadie le faltó una cama”. Lara murio en el piso, porque le faltó u…	0	1933	https://twitter.com/PadrePsicologo/status/1448515375348568066
Thu Oct 14 05:05:51 +0000 2021	ExequielSalta27	"RT @laderechadiario: 🇦🇷 | Milei cerró el #DebateCapital: ""Quiero dejarles un mensaje de esperanza, existe un mundo mejor, pero solamente si…"	0	950	https://twitter.com/ExequielSalta27/status/1448515373377024005
Thu Oct 14 05:05:50 +0000 2021	ISVLopez	"RT @MechiDemen: Para pelear por la legalización de la marihuana vamos con #MyriamAlCongreso
#DebateCapital"	0	11	https://twitter.com/ISVLopez/status/1448515370013237249
Thu Oct 14 05:05:46 +0000 2021	laura42131431	"RT @FelicindaCluney: Lo primero que pidió Vidal, fué al Presidente, la renuncia de Aníbal Fernández.

Bien ahí.

#DebateCapital"	0	130	https://twitter.com/laura42131431/status/1448515352439132169
Thu Oct 14 05:05:39 +0000 2021	DrSarcasmoX	"RT @C5N: Caliente cruce de Santoro a Vidal en el #DebateCapital

🗣 @SantoroLeandro: ""En 2018 quisieron cerrar 14 escuelas nocturnas. Me est…"	0	352	https://twitter.com/DrSarcasmoX/status/1448515322256900096
Thu Oct 14 05:05:34 +0000 2021	_xbelllx_	RT @HeisenbergGC1: Que desastre como Milei viene hablando en todos los programas de TV todos los días y ahora titubea y se prende a las pel…	0	2	https://twitter.com/_xbelllx_/status/1448515302283571205
Thu Oct 14 05:05:34 +0000 2021	adriancaneto	RT @SantoroLeandro: La seguridad es la mayor preocupación de todos y en la Ciudad es responsabilidad del jefe de Gobierno. Partamos de una…	0	278	https://twitter.com/adriancaneto/status/1448515300895469569
Thu Oct 14 05:05:32 +0000 2021	gchamayasalazar	"Argentinos, valoren a @JMilei como se merece, ya quisiera tener en el panorama político de mi país a tremendo candidato. 💥

#DebateCapital #MileiContraTodos"	1	1	https://twitter.com/gchamayasalazar/status/1448515294113275904
Thu Oct 14 05:05:31 +0000 2021	martincarrizo_	"Tan anti-Trump Myriam Bregman, q terminó haciendo con Milei, lo mismo q Trump hizo con Angela Merckel...
""Quien con monstruos lucha, cuide de no convertirse a su vez en monstruo. Cuando miras largo tiempo a un abismo, también éste mira dentro de tí"", de Nietzsche.
#DebateCapital"	16	1	https://twitter.com/martincarrizo_/status/1448515288454995968
Thu Oct 14 05:05:30 +0000 2021	abrucostaa	"RT @todonoticias: ""La casta no renuncia a los privilegios, si tienen que elegir entre seguir robando o que se muera la gente, prefieren que…"	0	219	https://twitter.com/abrucostaa/status/1448515283979849731
