"-","ITEM","Petróleo Crudo","Gas Natural","Carbón","Biomasa - Leña","Energía Hídrica","Energía Eólica","Biogás","Petróleo Diesel","Petróleo Combustible","Gasolina de Motor","Kerosene","Gas Licuado","Gasolina de Aviación","Kerosene de Aviación","Nafta","Gas de Refinería","Coke de Petróleo","D.I. de Petróleo","Electricidad","Coke Mineral","Gas Coke","Alquitrán","Gas de Altos Hornos","Gas Corriente","Metanol","Total"
"","Producción Primaria","2,271.00","18,198.00","2,388.00","48,830.00","18,863.00","280.00","86.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","90,916.00"
"","Importación","86,895.00","33,415.00","40,084.00","0.00","0.00","0.00","0.00","52,719.00","3,856.00","8,161.00","0.00","9,411.00","4.00","3,743.00","0.00","0.00","2,058.00","0.00","824.00","0.00","0.00","0.00","0.00","0.00","0.00","241,171.00"
"","Exportación","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3,272.00","0.00","2,174.00","0.00","158.00","0.00","0.00","396.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4,403.00","10,402.00"
"","Var.Stock + Perdidas + Cierre","-283.00","2,261.00","-2,808.00","0.00","153.00","0.00","0.00","6,208.00","215.00","-2,151.00","-1,068.00","2,921.00","8.00","2,879.00","-238.00","0.00","445.00","0.00","2,983.00","371.00","77.00","65.00","522.00","-151.00","661.00","13,070.00"
"","Oferta Total","89,448.00","49,353.00","45,280.00","48,830.00","18,710.00","280.00","86.00","43,239.00","3,641.00","8,138.00","1,068.00","6,333.00","-4.00","864.00","-159.00","0.00","1,613.00","0.00","-2,159.00","-371.00","-77.00","-65.00","-522.00","151.00","-5,064.00","308,614.00"
"C.TRANSFO.","Centrales Eléctricas: Autoproductores","0.00","-406.00","0.00","-5,028.00","-323.00","0.00","0.00","-469.00","-1,596.00","0.00","0.00","0.00","0.00","0.00","0.00","-85.00","0.00","0.00","2,961.00","0.00","0.00","0.00","0.00","0.00","0.00","-4,945.00"
"","Centrales Eléctricas: Servicio Publico","0.00","-19,177.00","-39,117.00","0.00","-18,387.00","-280.00","0.00","-12,941.00","-996.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-2,442.00","0.00","48,171.00","0.00","0.00","0.00","0.00","0.00","0.00","-45,169.00"
"","Siderurgia: Altos Hornos","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1,087.00","0.00","0.00","1,118.00","0.00","0.00","31.00"
"","Siderurgia: Hornos de Coque","0.00","0.00","-3,662.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2,525.00","872.00","126.00","0.00","0.00","0.00","-138.00"
"","Plantas de Gas","0.00","-419.00","0.00","0.00","0.00","0.00","-86.00","0.00","0.00","0.00","0.00","-50.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","144.00","0.00","-412.00"
"","Liquefacción de Gas","0.00","-8,221.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5,064.00","-3,157.00"
"","Refinería Petróleo - Gas Natural","-89,448.00","-3,356.00","0.00","0.00","0.00","0.00","0.00","31,828.00","14,707.00","22,716.00","644.00","8,925.00","87.00","6,499.00","869.00","3,953.00","0.00","1,763.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-813.00"
"","Consumo Final","0.00","17,774.00","2,501.00","43,803.00","0.00","0.00","0.00","61,657.00","15,756.00","30,854.00","1,712.00","15,207.00","84.00","7,364.00","710.00","3,868.00","-829.00","1,763.00","48,974.00","1,067.00","795.00","61.00","596.00","295.00","0.00","254,012.00"
"CONSUMO FINAL","Sector Energético: Auto Consumo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","459.00","0.00","0.00","837.00","0.00","0.00","710.00","1,636.00","0.00","0.00","1,867.00","0.00","440.00","61.00","521.00","0.00","0.00","6,531.00"
"","Sector Industrial y Minero","0.00","12,146.00","2,501.00","14,002.00","0.00","0.00","0.00","21,903.00","6,490.00","21.00","529.00","3,466.00","0.00","0.00","0.00","2,232.00","1,636.00","0.00","30,928.00","1,072.00","356.00","0.00","76.00","0.00","0.00","97,356.00"
"","Cobre","0.00","5,640.00","49.00","0.00","0.00","0.00","0.00","9,640.00","1,356.00","0.00","76.00","150.00","0.00","0.00","0.00","0.00","0.00","0.00","16,251.00","103.00","0.00","0.00","0.00","0.00","0.00","33,265.00"
"","Salitre","0.00","173.00","0.00","0.00","0.00","0.00","0.00","382.00","245.00","0.00","46.00","57.00","0.00","0.00","0.00","0.00","0.00","0.00","423.00","0.00","0.00","0.00","0.00","0.00","0.00","1,327.00"
"","Hierro","0.00","0.00","525.00","0.00","0.00","0.00","0.00","253.00","44.00","0.00","0.00","2.00","0.00","0.00","0.00","0.00","0.00","0.00","477.00","0.00","0.00","0.00","0.00","0.00","0.00","1,302.00"
"","Papel y Celulosa","0.00","976.00","0.00","10,398.00","0.00","0.00","0.00","119.00","896.00","0.00","0.00","58.00","0.00","0.00","0.00","0.00","0.00","0.00","3,767.00","0.00","0.00","0.00","0.00","0.00","0.00","16,213.00"
"","Siderurgia","0.00","52.00","0.00","0.00","0.00","0.00","0.00","0.00","103.00","0.00","5.00","44.00","0.00","0.00","0.00","0.00","0.00","0.00","397.00","928.00","356.00","0.00","76.00","0.00","0.00","1,961.00"
"","Petroquímica","0.00","1,171.00","0.00","0.00","0.00","0.00","0.00","4.00","0.00","0.00","0.00","746.00","0.00","0.00","0.00","2,232.00","0.00","0.00","402.00","0.00","0.00","0.00","0.00","0.00","0.00","4,555.00"
"","Cemento","0.00","38.00","536.00","0.00","0.00","0.00","0.00","120.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,636.00","0.00","470.00","0.00","0.00","0.00","0.00","0.00","0.00","2,800.00"
"","Azúcar","0.00","0.00","653.00","0.00","0.00","0.00","0.00","5.00","0.00","0.00","0.00","7.00","0.00","0.00","0.00","0.00","0.00","0.00","28.00","0.00","0.00","0.00","0.00","0.00","0.00","693.00"
"","Pesca","0.00","23.00","51.00","0.00","0.00","0.00","0.00","1,605.00","1,203.00","21.00","0.00","50.00","0.00","0.00","0.00","0.00","0.00","0.00","67.00","0.00","0.00","0.00","0.00","0.00","0.00","3,020.00"
"","Industrias Varias","0.00","1,384.00","687.00","3,604.00","0.00","0.00","0.00","4,186.00","1,684.00","0.00","144.00","2,318.00","0.00","0.00","0.00","0.00","0.00","0.00","7,016.00","41.00","0.00","0.00","0.00","0.00","0.00","21,064.00"
"","Minas Varias","0.00","2,687.00","0.00","0.00","0.00","0.00","0.00","5,589.00","959.00","0.00","258.00","32.00","0.00","0.00","0.00","0.00","0.00","0.00","1,630.00","0.00","0.00","0.00","0.00","0.00","0.00","11,156.00"
"","Sector Transporte","0.00","197.00","0.00","0.00","0.00","0.00","0.00","36,733.00","8,292.00","30,833.00","5.00","75.00","84.00","7,364.00","0.00","0.00","0.00","0.00","375.00","0.00","0.00","0.00","0.00","0.00","0.00","83,958.00"
"","Caminero","0.00","197.00","0.00","0.00","0.00","0.00","0.00","34,831.00","809.00","30,833.00","5.00","75.00","0.00","0.00","0.00","0.00","0.00","0.00","31.00","0.00","0.00","0.00","0.00","0.00","0.00","66,781.00"
"","Ferroviario","0.00","0.00","0.00","0.00","0.00","0.00","0.00","464.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","340.00","0.00","0.00","0.00","0.00","0.00","0.00","804.00"
"","Marítimo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,431.00","7,484.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.00","0.00","0.00","0.00","0.00","0.00","0.00","8,919.00"
"","Aéreo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.00","0.00","0.00","0.00","0.00","84.00","7,364.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7,454.00"
"","Sector Comercial, Público y Residencial","0.00","5,687.00","0.00","29,801.00","0.00","0.00","0.00","3,022.00","515.00","0.00","1,178.00","10,829.00","0.00","0.00","0.00","0.00","0.00","0.00","15,803.00","0.00","0.00","0.00","0.00","151.00","0.00","66,986.00"
"","Comercial","0.00","1,118.00","0.00","0.00","0.00","0.00","0.00","2,912.00","491.00","0.00","12.00","1,289.00","0.00","0.00","0.00","0.00","0.00","0.00","6,157.00","0.00","0.00","0.00","0.00","76.00","0.00","12,054.00"
"","Público","0.00","219.00","0.00","0.00","0.00","0.00","0.00","77.00","23.00","0.00","0.00","121.00","0.00","0.00","0.00","0.00","0.00","0.00","1,597.00","0.00","0.00","0.00","0.00","5.00","0.00","2,041.00"
"","Residencial","0.00","4,351.00","0.00","29,801.00","0.00","0.00","0.00","32.00","2.00","0.00","1,167.00","9,420.00","0.00","0.00","0.00","0.00","0.00","0.00","8,048.00","0.00","0.00","0.00","0.00","70.00","0.00","52,891.00"
"","Cons. No Energético - Industrial","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,763.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,763.00"
