"","","Petróleo Crudo","Gas Natural","Carbón","Biomasa - Leña","Energía Hídrica","Energía Eólica","Energía Solar","Biogás","Petróleo Diesel","Petróleo Combustible","Gasolina de motor","Kerosene","Gas Licuado","Gasolina de Aviación","Kerosene de Aviación","Nafta","Gas de Refinería","Coke de Petróleo","D.I. de Petróleo","Electricidad","Coke Mineral","Gas de Coke","Alquitrán","Gas de Altos Hornos","Gas Corriente","Metanol",""
"","Siderurgia","","0.00","0.00","0.00","","","0.00","","10.00","500.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","472.00","700.00","","","","","","1,682.00"
"","Petroquímica","","1,440.00","0.00","0.00","","","0.00","","0.00","0.00","0.00","0.00","1,944.00","0.00","0.00","","0.00","0.00","","185.00","0.00","","","","","","3,569.00"
"","Cemento","","52.00","31.00","36.00","","","0.00","","67.00","223.00","0.00","0.00","26.00","0.00","0.00","","0.00","1,960.00","","480.00","0.00","","","","","","2,875.00"
"","Azúcar","","0.00","674.00","7.00","","","0.00","","5.00","137.00","0.00","0.00","7.00","0.00","0.00","","0.00","0.00","","17.00","41.00","","","","","","887.00"
"","Pesca","","1.00","25.00","0.00","","","0.00","","2,054.00","408.00","0.00","0.00","27.00","0.00","0.00","","0.00","0.00","","114.00","0.00","","","","","","2,630.00"
"","Industrias Varias","","2,483.00","545.00","3,509.00","","","8.00","","6,193.00","2,216.00","0.00","84.00","1,029.00","1.00","83.00","","0.00","0.00","","8,250.00","13.00","","","","","","24,412.00"
"","Minas Varias","","49.00","0.00","0.00","","","0.00","","1,115.00","110.00","0.00","0.00","27.00","0.00","70.00","","0.00","0.00","","1,604.00","0.00","","","","","","2,975.00"
"","Sector Transporte","","325.00","","","","","0.00","","42,213.00","5,027.00","29,439.00","8.00","366.00","208.00","9,713.00","","0.00","","","408.00","","","","","","","87,707.00"
"","Terrestre","","325.00","","","","","0.00","","40,751.00","0.00","29,392.00","5.00","365.00","0.00","1.00","","0.00","","","357.00","","","","","","","71,197.00"
"","Ferroviario","","0.00","","","","","0.00","","484.00","0.00","2.00","0.00","0.00","0.00","0.00","","0.00","","","51.00","","","","","","","537.00"
"","Marítimo","","0.00","","","","","0.00","","967.00","5,027.00","42.00","3.00","0.00","0.00","8.00","","0.00","","","0.00","","","","","","","6,047.00"
"","Aéreo","","0.00","","","","","0.00","","11.00","0.00","3.00","0.00","0.00","208.00","9,705.00","","0.00","","","0.00","","","","","","","9,926.00"
"","Sector Comercial, Público y Residencial","","5,706.00","","34,892.00","","","167.00","","2,675.00","526.00","0.00","803.00","11,476.00","16.00","395.00","","0.00","","","16,735.00","","","","","200.00","","73,591.00"
"","Comercial","","1,095.00","","0.00","","","8.00","","2,610.00","442.00","0.00","6.00","1,524.00","2.00","13.00","","0.00","","","6,265.00","","","","","80.00","","12,044.00"
"","Público","","261.00","","0.00","","","25.00","","14.00","83.00","0.00","0.00","207.00","14.00","383.00","","0.00","","","1,740.00","","","","","25.00","","2,752.00"
"","Residencial","","4,350.00","","34,891.00","","","134.00","","52.00","0.00","0.00","797.00","9,745.00","0.00","0.00","","0.00","","","8,731.00","","","","","95.00","","58,796.00"
"","Cons. No Energético - Industrial","","","","","","","","","","","","","","","","","","","3,406.00","","","","","","","","3,406.00"
