"-","ITEM","Petróleo Crudo","Gas Natura","Carbón","Biomasa - Leña","Energía Hídrica","Energía Eólica","Biogás","Petróleo Diesel","Petróleo Combustible","Gasolina de Motor","Kerosene","Gas Licuado","Gasolina de Aviación","Kerosene de Aviación","Nafta","Gas de Refinería","Coke de Petróleo","D.I. de Petróleo","Electricidad","Coke Mineral","Gas Coke","Alquitrán","Gas de Altos Hornos","Gas Corriente","Metanol","Total"
"","Siderurgia","0.00","2.00","0.00","0.00","0.00","0.00","0.00","0.00","492.00","0.00","0.00","49.00","0.00","0.00","0.00","0.00","0.00","0.00","505.00","2,419.00","733.00","0.00","318.00","0.00","0.00","4,519.00"
"","Petroquímica","0.00","1,425.00","0.00","0.00","0.00","0.00","0.00","1.00","7.00","0.00","0.00","9.00","0.00","0.00","0.00","4.00","0.00","0.00","241.00","0.00","0.00","0.00","0.00","0.00","0.00","1,686.00"
"","Cemento","0.00","47.00","10.00","24.00","0.00","0.00","0.00","100.00","130.00","0.00","0.00","15.00","0.00","0.00","0.00","0.00","1,741.00","0.00","446.00","0.00","0.00","0.00","0.00","0.00","101.00","2,613.00"
"","Azúcar","0.00","0.00","989.00","6.00","0.00","0.00","0.00","4.00","1.00","0.00","0.00","8.00","0.00","0.00","0.00","0.00","0.00","0.00","15.00","34.00","0.00","0.00","0.00","0.00","0.00","1,057.00"
"","Pesca","0.00","1.00","25.00","0.00","0.00","0.00","0.00","2,288.00","1,603.00","0.00","0.00","74.00","0.00","0.00","0.00","0.00","0.00","0.00","102.00","0.00","0.00","0.00","0.00","0.00","0.00","4,094.00"
"","Industrias Varias","0.00","693.00","610.00","3,820.00","0.00","0.00","0.00","6,141.00","3,760.00","0.00","40.00","2,168.00","1.00","146.00","0.00","553.00","0.00","0.00","7,988.00","38.00","0.00","0.00","0.00","0.00","0.00","25,957.00"
"","Minas Varias","0.00","43.00","0.00","0.00","0.00","0.00","0.00","4,421.00","387.00","0.00","0.00","43.00","0.00","0.00","0.00","0.00","0.00","0.00","1,632.00","0.00","0.00","0.00","0.00","0.00","0.00","6,525.00"
"","Sector Transporte","0.00","188.00","0.00","0.00","0.00","0.00","0.00","41,412.00","8,386.00","28,766.00","8.00","159.00","38.00","7,820.00","2.00","0.00","0.00","0.00","411.00","0.00","0.00","0.00","0.00","0.00","0.00","87,189.00"
"","Terrestre","0.00","188.00","0.00","0.00","0.00","0.00","0.00","39,880.00","53.00","28,725.00","7.00","158.00","0.00","1.00","2.00","0.00","0.00","0.00","361.00","0.00","0.00","0.00","0.00","0.00","0.00","69,378.00"
"","Ferroviario","0.00","0.00","0.00","0.00","0.00","0.00","0.00","481.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","49.00","0.00","0.00","0.00","0.00","0.00","0.00","530.00"
"","Marítimo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,042.00","8,333.00","39.00","0.00","0.00","0.00","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9,416.00"
"","Aéreo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.00","0.00","1.00","0.00","0.00","37.00","7,817.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7,866.00"
"","Sector Comercial, Público y Residencial","0.00","5,637.00","0.00","31,599.00","0.00","0.00","0.00","4,847.00","535.00","0.00","1,176.00","11,084.00","5.00","69.00","0.00","22.00","0.00","0.00","16,257.00","0.00","0.00","0.00","0.00","179.00","0.00","71,410.00"
"","Comercial","0.00","1,091.00","0.00","10.00","0.00","0.00","0.00","4,696.00","513.00","0.00","14.00","1,439.00","2.00","64.00","0.00","22.00","0.00","0.00","6,534.00","0.00","0.00","0.00","0.00","83.00","0.00","14,469.00"
"","Público","0.00","211.00","0.00","0.00","0.00","0.00","0.00","113.00","22.00","0.00","0.00","149.00","3.00","4.00","0.00","0.00","0.00","0.00","1,510.00","0.00","0.00","0.00","0.00","14.00","0.00","2,027.00"
"","Residencial","0.00","4,335.00","0.00","31,589.00","0.00","0.00","0.00","38.00","0.00","0.00","1,162.00","9,497.00","0.00","0.00","0.00","0.00","0.00","0.00","8,212.00","0.00","0.00","0.00","0.00","82.00","0.00","54,915.00"
"","Cons. No Energético - Industrial","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2,069.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2,069.00"
