"","","Petróleo Crudo","Gas Natural","Carbón","Biomasa - Leña","Energía Hídrica","Energía Eólica","Energía Solar","Biogás","Petróleo Diesel","Petróleo Combustible","Gasolina de motor","Kerosene","Gas Licuado","Gasolina de Aviación","Kerosene de Aviación","Nafta","Gas de Refinería","Coke de Petróleo","D.I. de Petróleo","Electricidad","Coke Mineral","Gas de Coke","Alquitrán","Gas de Altos Hornos","Gas Corriente","Metanol",""
"","Producción Primaria","3,850.00","9,017.00","15,245.00","97,816.00","16,973.00","477.00","191.00","134.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",""
"","Importación","100,341.00","36,220.00","64,897.00","0.00","0.00","0.00","0.00","0.00","54,185.00","1,177.00","6,072.00","90.00","12,342.00","160.00","4,894.00","216.00","0.00","1,785.00","0.00","0.00","237.00","0.00","0.00","0.00","0.00","0.00",""
"","Exportación","0.00","0.00","6,251.00","0.00","0.00","0.00","0.00","0.00","4,659.00","2,258.00","2,205.00","0.00","787.00","0.00","67.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,103.00",""
"","Var.Stock + Perdidas + Error Est.","2,069.00","-442.00","-1,602.00","-640.00","0.00","0.00","0.00","0.00","1,145.00","-2,905.00","408.00","400.00","-1,386.00","5.00","1,479.00","445.00","0.00","-1,152.00","312.00","3,519.00","246.00","0.00","0.00","173.00","2.00","0.00",""
"","Pérdidas","0.00","674.00","0.00","0.00","117.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","129.00","4,205.00","205.00","0.00","0.00","173.00","2.00","0.00",""
"","Variación de Stock","2,095.00","213.00","3,402.00","-640.00","0.00","0.00","0.00","0.00","607.00","-906.00","32.00","427.00","163.00","4.00","275.00","445.00","0.00","-609.00","184.00","0.00","183.00","0.00","0.00","0.00","0.00","0.00",""
"","Error Estadístico","-26.00","-1,329.00","-5,004.00","0.00","-117.00","0.00","0.00","0.00","539.00","-1,999.00","376.00","-27.00","-1,549.00","1.00","1,205.00","0.00","0.00","-543.00","0.00","-687.00","-143.00","0.00","0.00","0.00","0.00","0.00",""
"","Oferta Total","102,123.00","45,680.00","75,493.00","98,456.00","16,973.00","477.00","191.00","134.00","48,381.00","1,824.00","3,458.00","-310.00","12,941.00","155.00","3,348.00","-228.00","0.00","2,937.00","-312.00","-3,519.00","-9.00","0.00","0.00","-173.00","-2.00","-1,103.00",""
"C.TRANSFO.","Centrales Eléctricas: Autoproductores","","-1,246.00","0.00","-36,791.00","-150.00","-17.00","-0.00","0.00","-873.00","-1,032.00","0.00","0.00","-8.00","0.00","0.00","0.00","-388.00","0.00","0.00","5,430.00","","","","","","","-35,075.00"
"","Centrales Eléctricas: Servicio Publico","","-21,831.00","-69,956.00","-5,445.00","-16,823.00","-460.00","-7.00","-81.00","-5,776.00","-919.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-3,062.00","0.00","57,313.00","","","","","","","-67,049.00"
"","Siderurgia: Altos Hornos","","","","","","","","","","","","","","","","","","","","","-2,858.00","-983.00","","914.00","","","-2,927.00"
"","Siderurgia: Hornos de Coque","","","-4,149.00","","","","","","0.00","0.00","","0.00","0.00","","","","","","","","3,063.00","995.00","160.00","","","","69.00"
"","Plantas de Gas","","-112.00","","","","","","-52.00","","","","","-31.00","","","","","","","","","","","","189.00","","-7.00"
"","Liquefacción de Gas","","0.00","","","","","","","-338.00","","","","","","","","","","","","","","","","","","-338.00"
"","Refinería Petróleo - Gas Natural","-102,123.00","-2,076.00","","","","","","","33,528.00","13,146.00","29,333.00","1,565.00","3,110.00","57.00","6,749.00","1,334.00","1,667.00","2,513.00","7,808.00","","","","","","","1,103.00","-2,285.00"
"","Consumo Final","0.00","20,415.00","1,388.00","56,220.00","-0.00","0.00","184.00","0.00","74,922.00","13,020.00","32,791.00","1,255.00","16,011.00","212.00","10,097.00","1,105.00","1,279.00","2,387.00","4,795.63","59,224.00","196.00","12.00","160.00","741.00","187.00","0.00","291,805.00"
"CONSUMO FINAL","Sector Energético: Auto Consumo","0.00","6,759.00","0.00","0.00","0.00","0.00","0.00","0.00","391.00","375.00","863.00","0.00","2,096.00","0.00","0.00","1,105.00","1,275.00","0.00","4,796.00","3,266.00","0.00","12.00","160.00","741.00","8.00","0.00","21,848.00"
"","Centrales Eléctricas: Autoproductores","","","","","0.00","","","","","","","","","","","","","","","0.00","","","","","","","0.00"
"","Centrales Eléctricas: Servicio Publico","","","","","0.00","","","","1.00","","0.00","0.00","","","","","","","","2,523.00","","","","","","","2,525.00"
"","Siderurgia: Altos Hornos","","","","","","","","","","357.00","0.00","0.00","2.00","","","","","","","","","","","741.00","","","1,100.00"
"","Siderurgia: Hornos de Coque","","","","","","","","","295.00","","0.00","","","","","","","","","3.00","","12.00","160.00","","","","471.00"
"","Plantas de Gas","","","","","","","","","","","","","0.00","","","","","","","4.00","","","","","8.00","","13.00"
"","Liquefacción de Gas","","108.00","","","","","","","5.00","","0.00","","","","","","","","","70.00","","0.00","","","","","183.00"
"","Refinería Petróleo - Gas Natural","","6,651.00","","","","","","","90.00","17.00","863.00","0.00","2,094.00","","","1,105.00","1,275.00","","4,796.00","666.00","","","","","","","17,557.00"
"","Sector Industrial y Minero","","7,442.00","1,388.00","20,960.00","","","18.00","","26,450.00","6,469.00","0.00","156.00","3,098.00","0.00","366.00","0.00","4.00","2,387.00","0.00","36,792.00","196.00","","","","","","105,725.00"
"","Cobre","","1,220.00","0.00","0.00","","","10.00","","13,439.00","1,028.00","0.00","107.00","90.00","0.00","0.00","","0.00","6.00","","18,704.00","148.00","","","","","","34,752.00"
"","Salitre","","437.00","0.00","0.00","","","0.00","","925.00","234.00","0.00","0.00","5.00","0.00","0.00","","0.00","0.00","","460.00","0.00","","","","","","2,062.00"
"","Hierro","","0.00","0.00","0.00","","","0.00","","355.00","44.00","0.00","0.00","0.00","0.00","0.00","","0.00","0.00","","453.00","0.00","","","","","","851.00"
"","Papel y Celulosa","","676.00","63.00","13,798.00","","","0.00","","12.00","2,101.00","0.00","0.00","84.00","0.00","0.00","","0.00","0.00","","6,210.00","0.00","","","","","","22,944.00"
"","Siderurgia","","0.00","0.00","0.00","","","0.00","","0.00","0.00","0.00","0.00","39.00","0.00","0.00","","0.00","0.00","","399.00","0.00","","","","","","438.00"
"","Petroquímica","","1,527.00","0.00","0.00","","","0.00","","0.00","0.00","0.00","0.00","1,755.00","0.00","0.00","","4.00","0.00","","148.00","0.00","","","","","","3,434.00"
"","Cemento","","45.00","1.00","10.00","","","0.00","","15.00","63.00","0.00","0.00","0.00","0.00","0.00","","0.00","2,381.00","","493.00","0.00","","","","","","3,008.00"
"","Azúcar","","6.00","690.00","4.00","","","0.00","","3.00","8.00","0.00","0.00","2.00","0.00","0.00","","0.00","0.00","","17.00","43.00","","","","","","774.00"
"","Pesca","","1.00","24.00","0.00","","","0.00","","1,934.00","285.00","0.00","0.00","28.00","0.00","0.00","","0.00","0.00","","126.00","0.00","","","","","","2,399.00"
"","Industrias Varias","","3,486.00","609.00","7,148.00","","","8.00","","8,695.00","2,418.00","0.00","49.00","1,056.00","0.00","218.00","","0.00","0.00","","8,553.00","4.00","","","","","","32,245.00"
"","Minas Varias","","46.00","0.00","0.00","","","0.00","","1,072.00","287.00","0.00","0.00","39.00","0.00","147.00","","0.00","0.00","","1,228.00","0.00","","","","","","2,818.00"
"","Sector Transporte","","312.00","","","","","0.00","","45,464.00","5,871.00","31,927.00","49.00","412.00","195.00","9,240.00","","0.00","","","439.00","","","","","","","93,910.00"
"","Terrestre","","312.00","","","","","0.00","","43,975.00","48.00","31,842.00","47.00","411.00","0.00","1.00","","0.00","","","395.00","","","","","","","77,031.00"
"","Ferroviario","","0.00","","","","","0.00","","212.00","277.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","45.00","","","","","","","534.00"
"","Marítimo","","0.00","","","","","0.00","","1,261.00","5,546.00","82.00","3.00","0.00","0.00","0.00","","0.00","","","0.00","","","","","","","6,892.00"
"","Aéreo","","0.00","","","","","0.00","","15.00","0.00","3.00","0.00","1.00","195.00","9,239.00","","0.00","","","0.00","","","","","","","9,453.00"
"","Sector Comercial, Público y Residencial","","5,901.00","","35,259.00","","","169.00","","2,610.00","305.00","0.00","1,050.00","10,405.00","16.00","491.00","","0.00","","","18,727.00","","","","","179.00","","75,112.00"
"","Comercial","","1,153.00","","23.00","","","8.00","","2,401.00","292.00","0.00","10.00","300.00","1.00","71.00","","0.00","","","7,455.00","","","","","38.00","","11,752.00"
"","Público","","247.00","","0.00","","","25.00","","98.00","13.00","0.00","0.00","256.00","15.00","420.00","","0.00","","","1,926.00","","","","","5.00","","3,004.00"
"","Residencial","","4,502.00","","35,237.00","","","135.00","","111.00","0.00","0.00","1,040.00","9,850.00","0.00","0.00","","0.00","","","9,346.00","","","","","136.00","","60,356.00"
"","Cons. No Energético - Industrial","","","","","","","","","","","","","","","","","","","2,700.64","","","","","","","","0.00"
