"-","ITEM","Petróleo Crudo","Gas Natural","Carbón","Biomasa - Leña","Energía Hídrica","Energía Eólica","Petróleo Diesel","Petróleo Combustible","Gasolina de Motor","Kerosene","Gas Licuado","Gasolina de Aviación","Kerosene de Aviación","Nafta","Gas de Refinería","Coke de Petróleo","D.I. de Petróleo","Electricidad","Coke Mineral","Gas Coke","Alquitrán","Gas de Altos Hornos","Gas Corriente","Metanol","Total"
"","Pesca","0.00","9.00","73.00","0.00","0.00","0.00","721.00","618.00","0.00","0.00","26.00","0.00","0.00","1.00","0.00","0.00","0.00","162.00","0.00","0.00","0.00","0.00","0.00","0.00","1,610.00"
"","Industrias Varias","0.00","350.00","738.00","3,882.00","0.00","0.00","8,463.00","3,754.00","0.00","148.00","3,100.00","0.00","0.00","0.00","0.00","0.00","0.00","7,739.00","13.00","0.00","0.00","0.00","0.00","516.00","28,704.00"
"","Minas Varias","0.00","2.00","0.00","0.00","0.00","0.00","2,833.00","282.00","0.00","57.00","21.00","0.00","0.00","1.00","0.00","0.00","0.00","1,336.00","29.00","0.00","0.00","0.00","0.00","0.00","4,561.00"
"","Sector Transporte","0.00","144.00","0.00","0.00","0.00","0.00","39,115.00","14,990.00","25,731.00","14.00","36.00","47.00","9,501.00","2.00","0.00","0.00","0.00","367.00","0.00","0.00","0.00","0.00","0.00","0.00","89,947.00"
"","Caminero","0.00","144.00","0.00","0.00","0.00","0.00","35,006.00","2.00","25,682.00","13.00","36.00","0.00","2.00","2.00","0.00","0.00","0.00","321.00","0.00","0.00","0.00","0.00","0.00","0.00","61,208.00"
"","Ferroviario","0.00","0.00","0.00","0.00","0.00","0.00","485.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","46.00","0.00","0.00","0.00","0.00","0.00","0.00","531.00"
"","Marítimo","0.00","0.00","0.00","0.00","0.00","0.00","3,616.00","14,988.00","49.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18,655.00"
"","Aéreo","0.00","0.00","0.00","0.00","0.00","0.00","7.00","0.00","0.00","0.00","0.00","47.00","9,499.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9,553.00"
"","Sector Comercial, Público y Residencial","0.00","5,234.00","44.00","29,505.00","0.00","0.00","1,816.00","629.00","0.00","577.00","10,222.00","0.00","0.00","0.00","0.00","0.00","0.00","14,091.00","0.00","0.00","0.00","0.00","255.00","0.00","62,373.00"
"","Comercial","0.00","1,095.00","0.00","0.00","0.00","0.00","1,700.00","591.00","0.00","4.00","1,060.00","0.00","0.00","0.00","0.00","0.00","0.00","5,330.00","0.00","0.00","0.00","0.00","125.00","0.00","9,905.00"
"","Público","0.00","185.00","44.00","0.00","0.00","0.00","63.00","38.00","0.00","3.00","196.00","0.00","0.00","0.00","0.00","0.00","0.00","1,237.00","0.00","0.00","0.00","0.00","12.00","0.00","1,778.00"
"","Residencial","0.00","3,954.00","0.00","29,505.00","0.00","0.00","53.00","0.00","0.00","571.00","8,966.00","0.00","0.00","0.00","0.00","0.00","0.00","7,524.00","0.00","0.00","0.00","0.00","117.00","0.00","50,690.00"
"","Cons. No Energético - Industrial","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,562.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1,562.00"
