source,target,value
cambiemos buenos aires (paso),cambiemos buenos aires,41
unidad ciudadana (paso),unidad ciudadana,37
1pais (paso),1pais,11
frente justicialista (paso),frente justicialista,5
fit (paso),fit,5
voto no positivo (paso),voto no positivo,3
