year	combustible	region	m3
2006	KEROSENE_DOMESTICO	CL-MA	0
2006	KEROSENE_DOMESTICO	CL-LR	0
2006	KEROSENE_DOMESTICO	CL-AP	0
2006	P_COMBUSTIBLE_180	CL-TA	15221
2006	P_COMBUSTIBLE_180	CL-AN	42164
2006	P_COMBUSTIBLE_180	CL-AT	113388
2006	P_COMBUSTIBLE_180	CL-CO	358
2006	P_COMBUSTIBLE_180	CL-AR	0
2006	P_COMBUSTIBLE_180	CL-RM	15
2006	P_COMBUSTIBLE_180	CL-VS	1053196
2006	P_COMBUSTIBLE_180	CL-LI	0
2006	P_COMBUSTIBLE_180	CL-ML	0
2006	P_COMBUSTIBLE_180	CL-BI	147131
2006	P_COMBUSTIBLE_180	CL-LL	7063
2006	P_COMBUSTIBLE_180	CL-AI	0
2006	P_COMBUSTIBLE_180	CL-MA	0
2006	P_COMBUSTIBLE_180	CL-LR	0
2006	P_COMBUSTIBLE_180	CL-AP	0
2006	P_COMBUSTIBLE_5	CL-TA	0
2006	P_COMBUSTIBLE_5	CL-AN	5
2006	P_COMBUSTIBLE_5	CL-AT	0
2006	P_COMBUSTIBLE_5	CL-CO	3691
2006	P_COMBUSTIBLE_5	CL-AR	6878
2006	P_COMBUSTIBLE_5	CL-RM	21510
2006	P_COMBUSTIBLE_5	CL-VS	9228
2006	P_COMBUSTIBLE_5	CL-LI	16495
2006	P_COMBUSTIBLE_5	CL-ML	3552
2006	P_COMBUSTIBLE_5	CL-BI	11199
2006	P_COMBUSTIBLE_5	CL-LL	15405
2006	P_COMBUSTIBLE_5	CL-AI	0
2006	P_COMBUSTIBLE_5	CL-MA	0
2006	P_COMBUSTIBLE_5	CL-LR	0
2006	P_COMBUSTIBLE_5	CL-AP	0
2006	P_COMBUSTIBLE_6	CL-TA	112402
2006	P_COMBUSTIBLE_6	CL-AN	101556
2006	P_COMBUSTIBLE_6	CL-AT	42364
2006	P_COMBUSTIBLE_6	CL-CO	29963
2006	P_COMBUSTIBLE_6	CL-AR	33590
2006	P_COMBUSTIBLE_6	CL-RM	19753
2006	P_COMBUSTIBLE_6	CL-VS	13681
2006	P_COMBUSTIBLE_6	CL-LI	62349
2006	P_COMBUSTIBLE_6	CL-ML	67633
2006	P_COMBUSTIBLE_6	CL-BI	184928
2006	P_COMBUSTIBLE_6	CL-LL	39090
2006	P_COMBUSTIBLE_6	CL-AI	195
2006	P_COMBUSTIBLE_6	CL-MA	30
2006	P_COMBUSTIBLE_6	CL-LR	0
2006	P_COMBUSTIBLE_6	CL-AP	0
2006	P_DIESEL	CL-TA	0
2006	P_DIESEL	CL-AN	70
2006	P_DIESEL	CL-AT	2421
2006	P_DIESEL	CL-CO	0
2006	P_DIESEL	CL-AR	0
2006	P_DIESEL	CL-RM	0
2006	P_DIESEL	CL-VS	0
2006	P_DIESEL	CL-LI	0
2006	P_DIESEL	CL-ML	0
2006	P_DIESEL	CL-BI	0
2006	P_DIESEL	CL-LL	0
2006	P_DIESEL	CL-AI	0
2006	P_DIESEL	CL-MA	8791
2006	P_DIESEL	CL-LR	0
2006	P_DIESEL	CL-AP	0
2006	P_DIESEL_A1	CL-TA	119
2006	P_DIESEL_A1	CL-AN	66
2006	P_DIESEL_A1	CL-AT	19
2006	P_DIESEL_A1	CL-CO	7151
2006	P_DIESEL_A1	CL-AR	293
2006	P_DIESEL_A1	CL-RM	1350611
2006	P_DIESEL_A1	CL-VS	52454
2006	P_DIESEL_A1	CL-LI	36510
2006	P_DIESEL_A1	CL-ML	2002
2006	P_DIESEL_A1	CL-BI	1831
2006	P_DIESEL_A1	CL-LL	1225
2006	P_DIESEL_A1	CL-AI	0
2006	P_DIESEL_A1	CL-MA	104
2006	P_DIESEL_A1	CL-LR	0
2006	P_DIESEL_A1	CL-AP	0
2006	P_DIESEL_A2	CL-TA	0
2006	P_DIESEL_A2	CL-AN	0
2006	P_DIESEL_A2	CL-AT	0
2006	P_DIESEL_A2	CL-CO	0
2006	P_DIESEL_A2	CL-AR	0
2006	P_DIESEL_A2	CL-RM	0
2006	P_DIESEL_A2	CL-VS	0
2006	P_DIESEL_A2	CL-LI	0
2006	P_DIESEL_A2	CL-ML	0
2006	P_DIESEL_A2	CL-BI	0
2006	P_DIESEL_A2	CL-LL	0
2006	P_DIESEL_A2	CL-AI	0
2006	P_DIESEL_A2	CL-MA	0
2006	P_DIESEL_A2	CL-LR	0
2006	P_DIESEL_A2	CL-AP	0
2006	P_DIESEL_B	CL-TA	487749
2006	P_DIESEL_B	CL-AN	1005297
2006	P_DIESEL_B	CL-AT	320171
2006	P_DIESEL_B	CL-CO	268137
2006	P_DIESEL_B	CL-AR	241148
2006	P_DIESEL_B	CL-RM	19124
2006	P_DIESEL_B	CL-VS	492946
2006	P_DIESEL_B	CL-LI	227927
2006	P_DIESEL_B	CL-ML	268465
2006	P_DIESEL_B	CL-BI	738549
2006	P_DIESEL_B	CL-LL	434829
2006	P_DIESEL_B	CL-AI	68455
2006	P_DIESEL_B	CL-MA	106539
2006	P_DIESEL_B	CL-LR	0
2006	P_DIESEL_B	CL-AP	0
2006	P_DIESEL_INVERNAL	CL-TA	0
2006	P_DIESEL_INVERNAL	CL-AN	657
2006	P_DIESEL_INVERNAL	CL-AT	31559
2006	P_DIESEL_INVERNAL	CL-CO	333
2006	P_DIESEL_INVERNAL	CL-AR	0
2006	P_DIESEL_INVERNAL	CL-RM	0
2006	P_DIESEL_INVERNAL	CL-VS	0
2006	P_DIESEL_INVERNAL	CL-LI	0
2006	P_DIESEL_INVERNAL	CL-ML	0
2006	P_DIESEL_INVERNAL	CL-BI	0
